"CURSO;DISCIPLINA;PERIODO;PRE_REQUISITOS"
"ADM;Introdução à Gestão;1;"
"ADM;Ética Empresarial;1;"
"ADM;Introdução à Economia;1;"
"ADM;Cálculo I;1;"
"ADM;Contabilidade Geral;1;"
"ADM;Direito I;1;"
"ADM;Comunicação Corporativa;1;"
"ADM;Comportamento Organizacional;2;Introdução à Gestão"
"ADM;Fundamentos de Marketing;2;"
"ADM;Psicologia Social;2;"
"ADM;Cálculo II;2;Cálculo I"
"ADM;Análise de Demonstrativos;2;Contabilidade Geral"
"ADM;Administração de Materiais;2;"
"ADM;Responsabilidade Social e Relações ÉtnicoRaciais;2;"
"ADM;Gestão da Inovação;3;"
"ADM;Administração de Varejo;3;Fundamentos de Marketing"
"ADM;Estrutura e Processos Organizacionais;3;Comportamento Organizacional"
"ADM;Lógica;3;Cálculo II"
"ADM;Contabilidade de Custos;3;Análise de Demonstrativos"
"ADM;Probabilidade e Estatística;3;Cálculo II"
"ADM;Gestão Pública;3;Introdução à Gestão"
"ADM;Gestão Empreendedora;4;Administração de Varejo,Introdução à Gestão"
"ADM;Administração de Vendas e Serviços;4;Administração de Varejo"
"ADM;Macroeconomia;4;Introdução à Economia"
"ADM;Qualidade;4;Probabilidade e Estatística"
"ADM;Estatística Aplicada;4;Probabilidade e Estatística"
"ADM;Matemática Financeira;4;50 Créditos"
"ADM;Gestão de Pessoas I;4;50 Créditos"
"ADM;Logística;5;Administração de Materiais"
"ADM;Microeconomia;5;Introdução à Economia,Cálculo II"
"ADM;Gerenciamento de Projetos;5;Qualidade"
"ADM;Administração Financeira e Orçamentária I;5;Contabilidade de Custos"
"ADM;Gestão de Pessoas II;5;Gestão de Pessoas I"
"ADM;Gestão Ambiental;5;"
"ADM;Gestão Estratégica da Informação;5;"
"ADM;Administração da Produção;6;Logística"
"ADM;Métodos de Pesquisa;6;100 Créditos"
"ADM;Estratégia Empresarial;6;100 Créditos"
"ADM;Administração Financeira e Orçamentária II;6;Matemática Financeira,Administração Financeira e Orçamentária I"
"ADM;Direito II;6;Direito I"
"ADM;Gestão de Saúde e Segurança;6;"
"ADM;Comércio Exterior;6;Macroeconomia"
"ADM;Planejamento e Controle da Produção;7;Administração da Produção"
"ADM;Produção Científica I;7;Métodos de Pesquisa"
"ADM;Estágio;7;75 Créditos"
"ADM;Jogos de Negócios;7;Estratégia Empresarial"
"ADM;Controladoria e Auditoria;7;Administração Financeira e Orçamentária II"
"ADM;Modelagem Matemática;7;100 Créditos"
"ADM;Produção Científica II;8;Produção Científica I"
"ADM;Tópicos Especiais em Administração;8;100 Créditos"
"ADM;Atividades Complementares;8;"
"ADM;Pesquisa Operacional;8;Modelagem Matemática"
"BCC;Álgebra Linear I;1;"
"BCC;Cálculo a uma Variável;1;"
"BCC;Introdução à Administração;1;"
"BCC;Arquitetura de Computadores;1;"
"BCC;Projeto de Algoritmos Computacionais;1;"
"BCC;Lógica Matemática;1;"
"BCC;Álgebra Linear II;2;Álgebra Linear I"
"BCC;Cálculo a Várias Variáveis;2;Cálculo a uma Variável,Álgebra Linear I"
"BCC;Sistemas Operacionais;2;Arquitetura de Computadores"
"BCC;Arquiteturas Avançadas de Computadores;2;Arquitetura de Computadores"
"BCC;Estruturas de Dados;2;Projeto de Algoritmos Computacionais"
"BCC;Matemática Discreta;2;"
"BCC;Ciências Ambientais;2;"
"BCC;Equações Diferenciais Ordinárias;3;Cálculo a Várias Variáveis,Álgebra Linear II"
"BCC;Sistemas Digitais;3;"
"BCC;Fundamentos de Redes de Computadores;3;"
"BCC;Programação Orientada a Objetos;3;Projeto de Algoritmos Computacionais"
"BCC;Engenharia de Requisitos;3;"
"BCC;Empreendedorismo;3;"
"BCC;Humanidades e Ciências Sociais;3;"
"BCC;Cálculo Numérico;4;Cálculo a uma Variável,Projeto de Algoritmos Computacionais"
"BCC;Gerência de Projetos de Tecnologia da Informação;4;Engenharia de Requisitos"
"BCC;Programação de Software para Web;4;Programação Orientada a Objetos"
"BCC;Análise e Projeto de Sistemas;4;Engenharia de Requisitos"
"BCC;Projeto de Banco de Dados;4;Engenharia de Requisitos"
"BCC;Organização de Estruturas de Arquivos;4;Estruturas de Dados"
"BCC;Estatística e Probabilidade;5;Matemática Discreta"
"BCC;Arquitetura de Linguagens de Programação;5;Programação Orientada a Objetos"
"BCC;Arquitetura e Padrões de Software;5;Programação de Software para Web,Análise e Projeto de Sistemas"
"BCC;Engenharia de Software;5;Engenharia de Requisitos"
"BCC;Administração de Banco de Dados;5;Projeto de Banco de Dados"
"BCC;Metodologia Científica;5;"
